Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS,Bourdin (S),0.0,0.0,1974
TINTAS,BRS Carmen,0.0,0.0,1974
TINTAS,BRS Cora,0.0,0.0,1974
TINTAS,BRS Magna,0.0,0.0,1974
TINTAS,BRS Margot,0.0,0.0,1974
TINTAS,BRS Morena,0.0,0.0,1974
TINTAS,BRS Núbia,0.0,0.0,1974
TINTAS,BRS Rúbea,0.0,0.0,1974
TINTAS,BRS Violeta,0.0,0.0,1974
TINTAS,BRS Vitória,0.0,0.0,1974
TINTAS,Champagnon (Champanheta),0.0,0.0,1974
TINTAS,Coleções,0.0,0.0,1974
TINTAS,Concord,5218933.0,0.0,1974
TINTAS,Concord clone 30,0.0,0.0,1974
TINTAS,Couderc,5057735.0,0.0,1974
TINTAS,Cynthiana(1),605039.0,0.0,1974
TINTAS,Herbemont,65865189.0,0.0,1974
TINTAS,IAC 138022,0.0,0.0,1974
TINTAS,Isabel,191946376.0,0.0,1974
TINTAS,Isabel Precoce,0.0,0.0,1974
TINTAS,Jacquez,847092.0,0.0,1974
TINTAS,Kyoko,0.0,0.0,1974
TINTAS,Landot,103456.0,0.0,1974
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1974
TINTAS,Oberlin,47350.0,0.0,1974
TINTAS,Othello,54730.0,0.0,1974
TINTAS,Paco,0.0,0.0,1974
TINTAS,Patricia,0.0,0.0,1974
TINTAS,Seibel,12179223.0,0.0,1974
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1974
TINTAS,Seyve Willard (Tinta),0.0,0.0,1974
TINTAS,Vênus,0.0,0.0,1974
BRANCAS E ROSADAS_TOTAL,,0.0,2865338.0,1974
BRANCAS E ROSADAS,Baco,0.0,0.0,1974
BRANCAS E ROSADAS,Bokay,0.0,0.0,1974
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1974
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1974
